NUMEMP;TIPCOL;NUMCAD;DATALT;SEQALT;CODMOT;VALSAL;TIPSAL;PERREA
1;1;297;01/11/2014;1;20;4.611,66;1;0
1;1;297;01/11/2015;1;20;4.934,47;1;0
1;1;297;01/11/2016;1;3;5.342,33;1;0
1;1;297;01/11/2017;1;3;5.621,25;1;0
1;1;297;01/11/2018;1;3;5.846,10;1;0
1;1;297;11/09/2012;1;1;3.644,00;1;0
1;1;298;01/06/2013;1;20;7.865,55;1;0
1;1;298;01/11/2013;1;20;8.416,13;1;0
1;1;298;01/11/2014;1;1;9.047,33;1;0
1;1;298;01/12/2014;1;20;9.952,06;1;0
1;1;298;02/01/2004;1;1;7.491,00;1;0
1;1;299;01/01/2021;1;3;4.623,92;1;0
1;1;299;01/01/2022;1;3;5.105,65;1;0
1;1;299;01/01/2023;1;3;5.556,61;1;0
1;1;299;01/03/2016;1;1;2.761,05;1;0
1;1;299;01/03/2017;1;3;3.444,99;1;0
1;1;299;01/05/2016;1;3;3.175,21;1;0
1;1;299;01/05/2018;1;3;4.209,64;1;0
1;1;299;01/09/2019;1;27;4.491,86;1;0
1;1;299;01/09/2021;1;3;4.858,82;1;0
1;1;299;01/09/2022;1;3;5.360,93;1;0
1;1;299;01/09/2023;1;3;5.806,66;1;0
1;1;299;01/09/2024;1;3;6.082,48;1;0
1;1;299;01/11/2014;1;20;2.502,60;1;0
1;1;299;01/11/2015;1;20;2.677,78;1;0
1;1;299;01/11/2016;1;3;3.333,97;1;0
1;1;299;01/11/2017;1;4;3.508,03;1;0
1;1;299;01/11/2018;1;3;4.378,03;1;0
1;1;299;02/07/2014;1;1;2.328,00;1;0
1;1;299;02/08/2020;1;3;4.491,86;1;0
1;1;299;04/05/2020;1;28;3.368,90;1;0
1;1;300;18/08/2014;1;1;4.000,00;1;0
1;1;301;10/09/2014;1;1;1.361,00;1;0
1;1;302;01/11/2014;1;20;3.010,00;1;0
1;1;302;01/11/2015;1;20;3.220,70;1;0
1;1;302;17/10/2014;1;1;2.800,00;1;0
1;1;303;01/03/2016;1;1;2.568,42;1;0
1;1;303;01/11/2015;1;20;2.490,96;1;0
1;1;303;03/11/2014;1;1;2.328,00;1;0
1;1;308;01/03/2016;1;3;5.442,46;1;0
1;1;308;01/11/2015;1;20;5.278,31;1;0
1;1;308;01/11/2016;1;3;5.714,58;1;0
1;1;308;03/12/2014;1;1;4.933,00;1;0
1;1;311;01/11/2015;1;20;4.505,77;1;0
1;1;311;10/12/2014;1;1;4.211,00;1;0
1;1;314;01/01/2021;1;3;2.761,43;1;0
1;1;314;01/01/2022;1;3;3.049,12;1;0
1;1;314;01/01/2023;1;3;3.318,43;1;0
1;1;314;01/03/2016;1;3;2.068,64;1;0
1;1;314;01/03/2017;1;3;2.244,40;1;0
1;1;314;01/03/2020;1;27;2.682,56;1;0
1;1;314;01/09/2019;1;1;2.438,69;1;0
1;1;314;01/09/2021;1;3;2.901,71;1;0
1;1;314;01/09/2022;1;3;3.201,58;1;0
1;1;314;01/09/2023;1;3;3.467,76;1;0
1;1;314;01/11/2015;1;20;2.006,25;1;0
1;1;314;01/11/2016;1;3;2.172,07;1;0
1;1;314;01/11/2017;1;3;2.285,47;1;0
1;1;314;01/11/2018;1;3;2.376,89;1;0
1;1;314;02/08/2020;1;3;2.682,56;1;0
1;1;314;04/05/2020;1;28;2.011,92;1;0
1;1;314;18/12/2014;1;1;1.875,00;1;0
1;1;315;01/03/2016;1;3;4.413,10;1;0
1;1;315;01/03/2017;1;3;4.788,06;1;0
1;1;315;01/11/2015;1;20;4.280,00;1;0
1;1;315;01/11/2016;1;3;4.633,76;1;0
1;1;315;01/11/2017;1;3;4.875,69;1;0
1;1;315;01/11/2018;1;3;5.070,72;1;0
1;1;315;18/12/2014;1;1;4.000,00;1;0
1;1;316;01/03/2016;1;3;3.524,97;1;0
1;1;316;01/03/2017;1;3;3.824,47;1;0
1;1;316;01/11/2015;1;20;3.418,65;1;0
1;1;316;01/11/2016;1;3;3.701,22;1;0
1;1;316;18/12/2014;1;1;3.195,00;1;0
1;1;318;01/01/2021;1;3;5.176,05;1;0
1;1;318;01/01/2022;1;3;5.715,29;1;0
1;1;318;01/01/2023;1;3;6.220,09;1;0
1;1;318;01/03/2016;1;3;3.524,97;1;0
1;1;318;01/03/2017;1;3;3.824,47;1;0
1;1;318;01/08/2019;1;3;4.900,80;1;0
1;1;318;01/09/2018;1;3;4.283,91;1;0
1;1;318;01/09/2019;1;27;5.028,22;1;0
1;1;318;01/09/2021;1;3;5.438,99;1;0
1;1;318;01/09/2022;1;3;6.001,05;1;0
1;1;318;01/09/2023;1;3;6.499,99;1;0
1;1;318;01/09/2024;1;3;6.808,74;1;0
1;1;318;01/11/2015;1;20;3.418,65;1;0
1;1;318;01/11/2016;1;3;3.701,22;1;0
1;1;318;01/11/2017;1;1;3.894,46;1;0
1;1;318;01/11/2018;1;4;4.455,27;1;0
1;1;318;02/08/2020;1;3;5.028,22;1;0
1;1;318;04/05/2020;1;28;3.771,17;1;0
1;1;318;05/01/2015;1;1;3.195,00;1;0
1;1;319;01/01/2021;1;3;5.154,66;1;0
1;1;319;01/01/2022;1;3;5.691,68;1;0
1;1;319;01/01/2023;1;3;6.504,11;1;0
1;1;319;01/03/2016;1;3;3.861,46;1;0
1;1;319;01/03/2017;1;3;4.189,55;1;0
1;1;319;01/03/2020;1;27;5.007,44;1;0
1;1;319;01/09/2019;1;4;4.552,22;1;0
1;1;319;01/09/2021;1;3;5.416,52;1;0
1;1;319;01/09/2022;1;1;5.976,26;1;0
1;1;319;01/09/2023;1;3;6.796,79;1;0
1;1;319;01/09/2024;1;3;7.119,64;1;0
1;1;319;01/11/2015;1;20;3.745,00;1;0
1;1;319;01/11/2016;1;3;4.054,53;1;0
1;1;319;01/11/2017;1;3;4.266,21;1;0
1;1;319;01/11/2018;1;3;4.436,86;1;0
1;1;319;01/11/2022;1;3;6.275,07;1;0
1;1;319;02/08/2020;1;3;5.007,44;1;0
1;1;319;04/05/2020;1;28;3.755,58;1;0
1;1;319;10/03/2015;1;1;3.500,00;1;0
1;1;321;01/01/2021;1;3;5.154,66;1;0
1;1;321;01/01/2022;1;3;5.691,68;1;0
1;1;321;01/01/2023;1;3;6.194,40;1;0
1;1;321;01/03/2016;1;3;3.861,46;1;0
1;1;321;01/03/2017;1;3;4.189,55;1;0
1;1;321;01/03/2020;1;27;5.007,44;1;0
1;1;321;01/04/2015;1;1;3.500,00;1;0
1;1;321;01/09/2019;1;4;4.552,22;1;0
1;1;321;01/09/2021;1;3;5.416,52;1;0
1;1;321;01/09/2022;1;3;5.976,26;1;0
1;1;321;01/09/2023;1;3;6.473,15;1;0
1;1;321;01/09/2024;1;3;6.780,62;1;0
1;1;321;01/11/2015;1;20;3.745,00;1;0
1;1;321;01/11/2016;1;3;4.054,53;1;0
1;1;321;01/11/2017;1;3;4.266,21;1;0
1;1;321;01/11/2018;1;3;4.436,86;1;0
1;1;321;02/08/2020;1;3;5.007,44;1;0
1;1;321;04/05/2020;1;28;3.755,58;1;0
1;1;322;01/01/2021;1;3;5.154,66;1;0
1;1;322;01/01/2022;1;3;5.691,68;1;0
1;1;322;01/03/2016;1;3;3.861,46;1;0
1;1;322;01/03/2017;1;3;4.189,55;1;0
1;1;322;01/03/2020;1;27;5.007,44;1;0
1;1;322;01/09/2019;1;4;4.552,22;1;0
1;1;322;01/09/2020;1;3;5.007,44;1;0
1;1;322;01/09/2021;1;3;5.416,52;1;0
1;1;322;01/09/2022;1;3;5.976,26;1;0
1;1;322;01/11/2015;1;20;3.745,00;1;0
1;1;322;01/11/2016;1;3;4.054,53;1;0
1;1;322;01/11/2017;1;3;4.266,21;1;0
1;1;322;01/11/2018;1;3;4.436,86;1;0
1;1;322;03/06/2020;1;28;3.755,58;1;0
1;1;322;06/04/2015;1;1;3.500,00;1;0
1;1;323;01/03/2016;1;3;2.096,22;1;0
1;1;323;01/03/2017;1;3;2.274,32;1;0
1;1;323;01/11/2015;1;20;2.033,00;1;0
1;1;323;01/11/2016;1;3;2.201,03;1;0
1;1;323;04/05/2015;1;1;1.900,00;1;0
1;1;324;08/05/2015;1;1;5.200,00;1;0
1;1;325;01/01/2017;1;3;14.570,32;1;0
