NUMEMP;TIPCOL;NUMCAD;DATALT;ESTCAR;CODCAR;CODMOT;;;;;;;;;;
;;;;;;;;;539;21/11/2022;2;;;539;#N/D;2
;;;;;;;;;540;21/11/2022;2;;;540;#N/D;2
;;;;;;;;;541;01/02/2023;27217;;;541;11;27217
;;;;;;;;;542;15/05/2023;27;;;542;#N/D;27
;;;;;;;;;543;21/08/2023;7113;;;543;#N/D;7113
;;;;;;;;;544;19/02/2024;2;;;544;#N/D;2
;;;;;;;;;545;18/03/2024;2;;;545;#N/D;2
;;;;;;;;;546;18/03/2024;2;;;546;#N/D;2
;;;;;;;;;547;07/10/2024;27212;;;547;#N/D;27212
;;;;;;;;;548;02/01/2024;27217;;;548;#N/D;27217
;;;;;;;;;549;04/11/2024;27217;;;549;#N/D;27217
;;;;;;;;;550;17/05/2021;7122;;;550;7122;7122
;;;;;;;;;551;04/08/2025;2;;;551;#N/D;2
;;;;;;;;;552;04/08/2025;2;;;552;#N/D;2
;;;;;;;;;553;04/08/2025;2;;;553;#N/D;2
